  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
   3106  -0.55220      0.0000000000    -13.232902      0.0000000000      639.9999999999
   3116  -0.55120      0.0000000000    -13.205691      0.0000000000      639.9999999999
   3126  -0.55020      0.0000000000    -13.178479      0.0000000000      639.9999999999
   3136  -0.54920      0.0000000000    -13.151268      0.0000000000      639.9999999999
   3146  -0.54820      0.0000000000    -13.124056      0.0000000000      639.9999999999
   3156  -0.54720      0.0000000000    -13.096845      0.0000000000      639.9999999999
   3166  -0.54620      0.0000000000    -13.069634      0.0000000000      639.9999999999
   3176  -0.54520      0.0000000000    -13.042422      0.0000000000      639.9999999999
   3186  -0.54420      0.0000000000    -13.015211      0.0000000000      639.9999999999
   3196  -0.54320      0.0000000000    -12.987999      0.0000000000      639.9999999999
   3206  -0.54220      0.0000000000    -12.960788      0.0000000000      639.9999999999
   3216  -0.54120      0.0000000000    -12.933577      0.0000000000      639.9999999999
   3226  -0.54020      0.0000000000    -12.906365      0.0000000000      639.9999999999
   3236  -0.53920      0.0000000000    -12.879154      0.0000000000      639.9999999999
   3246  -0.53820      0.0000000000    -12.851942      0.0000000000      639.9999999999
   3256  -0.53720      0.0000000000    -12.824731      0.0000000000      639.9999999999
   3266  -0.53620      0.0000000000    -12.797520      0.0000000000      639.9999999999
   3276  -0.53520      0.0000000000    -12.770308      0.0000000000      639.9999999999
   3286  -0.53420      0.0000000000    -12.743097      0.0000000000      639.9999999999
   3296  -0.53320      0.0000000000    -12.715885      0.0000000000      639.9999999999
   3306  -0.53220      0.0000000000    -12.688674      0.0000000000      639.9999999999
   3316  -0.53120      0.0000000000    -12.661463      0.0000000000      639.9999999999
   3326  -0.53020      0.0000000000    -12.634251      0.0000000000      639.9999999999
   3336  -0.52920      0.0000000000    -12.607040      0.0000000000      639.9999999999
   3346  -0.52820      0.0000000000    -12.579828      0.0000000000      639.9999999999
   3356  -0.52720      0.0000000000    -12.552617      0.0000000000      639.9999999999
   3366  -0.52620      0.0000000000    -12.525406      0.0000000000      639.9999999999
   3376  -0.52520      0.0000000000    -12.498194      0.0000000000      639.9999999999
